1,Bulbasaur,45,49,49,65,65,45,318,0,0,0,0,0
2,Ivysaur,60,62,63,80,80,60,405,0,0,0,0,0
3,Venusaur,80,82,83,100,100,80,525,0,0,0,0,0
4,Charmander,39,52,43,60,50,65,309,0,0,0,0,0
5,Charmeleon,58,64,58,80,65,80,405,0,0,0,0,0
6,Charizard,78,84,78,109,85,100,534,0,0,0,0,0
7,Squirtle,44,48,65,50,64,43,314,67,396,406,330,323
8,Wartortle,59,63,80,65,80,58,405,0,0,0,0,0
9,Blastoise,79,83,100,85,105,78,530,0,0,0,0,0
10,Caterpie,45,30,35,20,20,45,195,0,0,0,0,0
11,Metapod,50,20,55,25,25,30,205,0,0,0,0,0
12,Butterfree,60,45,50,90,80,70,395,0,0,0,0,0
13,Weedle,40,35,30,20,20,50,195,0,0,0,0,0
14,Kakuna,45,25,50,25,25,35,205,0,0,0,0,0
15,Beedrill,65,90,40,45,80,75,395,0,0,0,0,0
16,Pidgey,40,45,40,35,35,56,251,0,0,0,0,0
17,Pidgeotto,63,60,55,50,50,71,349,0,0,0,0,0
18,Pidgeot,83,80,75,70,70,101,479,0,0,0,0,0
19,Rattata,30,56,35,25,35,72,253,0,0,0,0,0
20,Raticate,55,81,60,50,70,97,413,0,0,0,0,0
21,Spearow,40,60,30,31,31,70,262,0,0,0,0,0
22,Fearow,65,90,65,61,61,100,442,0,0,0,0,0
23,Ekans,35,60,44,40,54,55,288,0,0,0,0,0
24,Arbok,60,85,69,65,79,80,438,0,0,0,0,0
25,Pikachu,35,55,40,50,50,90,320,0,0,0,0,0
26,Raichu,60,90,55,90,80,110,485,0,0,0,0,0
27,Sandshrew,50,75,85,20,30,40,300,0,0,0,0,0
28,Sandslash,75,100,110,45,55,65,450,0,0,0,0,0
29,Nidoranâ F,55,47,52,40,40,41,275,0,0,0,0,0
30,Nidorina,70,62,67,55,55,56,365,0,0,0,0,0
31,Nidoqueen,90,92,87,75,85,76,505,0,0,0,0,0
32,Nidoranâ M,46,57,40,40,40,50,273,0,0,0,0,0
33,Nidorino,61,72,57,55,55,65,365,0,0,0,0,0
34,Nidoking,81,102,77,85,75,85,505,0,0,0,0,0
35,Clefairy,70,45,48,60,65,35,323,0,0,0,0,0
36,Clefable,95,70,73,95,90,60,483,0,0,0,0,0
37,Vulpix,38,41,40,50,65,65,299,0,0,0,0,0
38,Ninetales,73,76,75,81,100,100,505,0,0,0,0,0
39,Jigglypuff,115,45,20,45,25,20,270,0,0,0,0,0
40,Wigglytuff,140,70,45,85,50,45,435,0,0,0,0,0
41,Zubat,40,45,35,30,40,55,245,0,0,0,0,0
42,Golbat,75,80,70,65,75,90,455,0,0,0,0,0
43,Oddish,45,50,55,75,65,30,320,0,0,0,0,0
44,Gloom,60,65,70,85,75,40,395,0,0,0,0,0
45,Vileplume,75,80,85,110,90,50,490,0,0,0,0,0
46,Paras,35,70,55,45,55,25,285,0,0,0,0,0
47,Parasect,60,95,80,60,80,30,405,0,0,0,0,0
48,Venonat,60,55,50,40,55,45,305,0,0,0,0,0
49,Venomoth,70,65,60,90,75,90,450,0,0,0,0,0
50,Diglett,10,55,25,35,45,95,265,0,0,0,0,0
51,Dugtrio,35,80,50,50,70,120,405,0,0,0,0,0
52,Meowth,40,45,35,40,40,90,290,0,0,0,0,0
53,Persian,65,70,60,65,65,115,440,0,0,0,0,0
54,Psyduck,50,52,48,65,50,55,320,0,0,0,0,0
55,Golduck,80,82,78,95,80,85,500,0,0,0,0,0
56,Mankey,40,80,35,35,45,70,305,0,0,0,0,0
57,Primeape,65,105,60,60,70,95,455,0,0,0,0,0
58,Growlithe,55,70,45,70,50,60,350,0,0,0,0,0
59,Arcanine,90,110,80,100,80,95,555,0,0,0,0,0
60,Poliwag,40,50,40,40,40,90,300,0,0,0,0,0
61,Poliwhirl,65,65,65,50,50,90,385,0,0,0,0,0
62,Poliwrath,90,95,95,70,90,70,510,0,0,0,0,0
63,Abra,25,20,15,105,55,90,310,0,0,0,0,0
64,Kadabra,40,35,30,120,70,105,400,0,0,0,0,0
65,Alakazam,55,50,45,135,95,120,500,0,0,0,0,0
66,Machop,70,80,50,35,35,35,305,0,0,0,0,0
67,Machoke,80,100,70,50,60,45,405,0,0,0,0,0
68,Machamp,90,130,80,65,85,55,505,0,0,0,0,0
69,Bellsprout,50,75,35,70,30,40,300,0,0,0,0,0
70,Weepinbell,65,90,50,85,45,55,390,0,0,0,0,0
71,Victreebel,80,105,65,100,70,70,490,0,0,0,0,0
72,Tentacool,40,40,35,50,100,70,335,0,0,0,0,0
73,Tentacruel,80,70,65,80,120,100,515,0,0,0,0,0
74,Geodude,40,80,100,30,30,20,300,0,0,0,0,0
75,Graveler,55,95,115,45,45,35,390,0,0,0,0,0
76,Golem,80,120,130,55,65,45,495,0,0,0,0,0
77,Ponyta,50,85,55,65,65,90,410,0,0,0,0,0
78,Rapidash,65,100,70,80,80,105,500,0,0,0,0,0
79,Slowpoke,90,65,65,40,40,15,315,0,0,0,0,0
80,Slowbro,95,75,110,100,80,30,490,0,0,0,0,0
81,Magnemite,25,35,70,95,55,45,325,0,0,0,0,0
82,Magneton,50,60,95,120,70,70,465,0,0,0,0,0
83,Farfetch'd,52,65,55,58,62,60,352,0,0,0,0,0
84,Doduo,35,85,45,35,35,75,310,0,0,0,0,0
85,Dodrio,60,110,70,60,60,100,460,0,0,0,0,0
86,Seel,65,45,55,45,70,45,325,0,0,0,0,0
87,Dewgong,90,70,80,70,95,70,475,0,0,0,0,0
88,Grimer,80,80,50,40,50,25,325,0,0,0,0,0
89,Muk,105,105,75,65,100,50,500,0,0,0,0,0
90,Shellder,30,65,100,45,25,40,305,0,0,0,0,0
91,Cloyster,50,95,180,85,45,70,525,0,0,0,0,0
92,Gastly,30,35,30,100,35,80,310,0,0,0,0,0
93,Haunter,45,50,45,115,55,95,405,0,0,0,0,0
94,Gengar,60,65,60,130,75,110,500,0,0,0,0,0
95,Onix,35,45,160,30,45,70,385,0,0,0,0,0
96,Drowzee,60,48,45,43,90,42,328,0,0,0,0,0
97,Hypno,85,73,70,73,115,67,483,0,0,0,0,0
98,Krabby,30,105,90,25,25,50,325,0,0,0,0,0
99,Kingler,55,130,115,50,50,75,475,0,0,0,0,0
100,Voltorb,40,30,50,55,55,100,330,0,0,0,0,0
101,Electrode,60,50,70,80,80,140,480,0,0,0,0,0
102,Exeggcute,60,40,80,60,45,40,325,0,0,0,0,0
103,Exeggutor,95,95,85,125,65,55,520,0,0,0,0,0
104,Cubone,50,50,95,40,50,35,320,0,0,0,0,0
105,Marowak,60,80,110,50,80,45,425,0,0,0,0,0
106,Hitmonlee,50,120,53,35,110,87,455,0,0,0,0,0
107,Hitmonchan,50,105,79,35,110,76,455,0,0,0,0,0
108,Lickitung,90,55,75,60,75,30,385,0,0,0,0,0
109,Koffing,40,65,95,60,45,35,340,0,0,0,0,0
110,Weezing,65,90,120,85,70,60,490,0,0,0,0,0
111,Rhyhorn,80,85,95,30,30,25,345,0,0,0,0,0
112,Rhydon,105,130,120,45,45,40,485,0,0,0,0,0
113,Chansey,250,5,5,35,105,50,450,0,0,0,0,0
114,Tangela,65,55,115,100,40,60,435,0,0,0,0,0
115,Kangaskhan,105,95,80,40,80,90,490,0,0,0,0,0
116,Horsea,30,40,70,70,25,60,295,0,0,0,0,0
117,Seadra,55,65,95,95,45,85,440,0,0,0,0,0
118,Goldeen,45,67,60,35,50,63,320,0,0,0,0,0
119,Seaking,80,92,65,65,80,68,450,0,0,0,0,0
120,Staryu,30,45,55,70,55,85,340,0,0,0,0,0
121,Starmie,60,75,85,100,85,115,520,0,0,0,0,0
122,Mr. Mime,40,45,65,100,120,90,460,0,0,0,0,0
123,Scyther,70,110,80,55,80,105,500,0,0,0,0,0
124,Jynx,65,50,35,115,95,95,455,0,0,0,0,0
125,Electabuzz,65,83,57,95,85,105,490,0,0,0,0,0
126,Magmar,65,95,57,100,85,93,495,0,0,0,0,0
127,Pinsir,65,125,100,55,70,85,500,0,0,0,0,0
128,Tauros,75,100,95,40,70,110,490,0,0,0,0,0
129,Magikarp,20,10,55,15,20,80,200,0,0,0,0,0
130,Gyarados,95,125,79,60,100,81,540,0,0,0,0,0
131,Lapras,130,85,80,85,95,60,535,0,0,0,0,0
132,Ditto,48,48,48,48,48,48,288,0,0,0,0,0
133,Eevee,55,55,50,45,65,55,325,0,0,0,0,0
134,Vaporeon,130,65,60,110,95,65,525,0,0,0,0,0
135,Jolteon,65,65,60,110,95,130,525,0,0,0,0,0
136,Flareon,65,130,60,95,110,65,525,0,0,0,0,0
137,Porygon,65,60,70,85,75,40,395,0,0,0,0,0
138,Omanyte,35,40,100,90,55,35,355,0,0,0,0,0
139,Omastar,70,60,125,115,70,55,495,0,0,0,0,0
140,Kabuto,30,80,90,55,45,55,355,0,0,0,0,0
141,Kabutops,60,115,105,65,70,80,495,0,0,0,0,0
142,Aerodactyl,80,105,65,60,75,130,515,0,0,0,0,0
143,Snorlax,160,110,65,65,110,30,540,0,0,0,0,0
144,Articuno,90,85,100,95,125,85,580,0,0,0,0,0
145,Zapdos,90,90,85,125,90,100,580,0,0,0,0,0
146,Moltres,90,100,90,125,85,90,580,0,0,0,0,0
147,Dratini,41,64,45,50,50,50,300,0,0,0,0,0
148,Dragonair,61,84,65,70,70,70,420,0,0,0,0,0
149,Dragonite,91,134,95,100,100,80,600,0,0,0,0,0
150,Mewtwo,106,110,90,154,90,130,680,0,0,0,0,0
151,Mew,100,100,100,100,100,100,600,0,0,0,0,0
152,Chikorita,45,49,65,49,65,45,318,0,0,0,0,0
153,Bayleef,60,62,80,63,80,60,405,0,0,0,0,0
154,Meganium,80,82,100,83,100,80,525,0,0,0,0,0
155,Cyndaquil,39,52,43,60,50,65,309,0,0,0,0,0
156,Quilava,58,64,58,80,65,80,405,0,0,0,0,0
157,Typhlosion,78,84,78,109,85,100,534,0,0,0,0,0
158,Totodile,50,65,64,44,48,43,314,0,0,0,0,0
159,Croconaw,65,80,80,59,63,58,405,0,0,0,0,0
160,Feraligatr,85,105,100,79,83,78,530,0,0,0,0,0
161,Sentret,35,46,34,35,45,20,215,0,0,0,0,0
162,Furret,85,76,64,45,55,90,415,0,0,0,0,0
163,Hoothoot,60,30,30,36,56,50,262,0,0,0,0,0
164,Noctowl,100,50,50,76,96,70,442,0,0,0,0,0
165,Ledyba,40,20,30,40,80,55,265,0,0,0,0,0
166,Ledian,55,35,50,55,110,85,390,0,0,0,0,0
167,Spinarak,40,60,40,40,40,30,250,0,0,0,0,0
168,Ariados,70,90,70,60,60,40,390,0,0,0,0,0
169,Crobat,85,90,80,70,80,130,535,0,0,0,0,0
170,Chinchou,75,38,38,56,56,67,330,0,0,0,0,0
171,Lanturn,125,58,58,76,76,67,460,0,0,0,0,0
172,Pichu,20,40,15,35,35,60,205,0,0,0,0,0
173,Cleffa,50,25,28,45,55,15,218,0,0,0,0,0
174,Igglybuff,90,30,15,40,20,15,210,0,0,0,0,0
175,Togepi,35,20,65,40,65,20,245,0,0,0,0,0
176,Togetic,55,40,85,80,105,40,405,0,0,0,0,0
177,Natu,40,50,45,70,45,70,320,0,0,0,0,0
178,Xatu,65,75,70,95,70,95,470,0,0,0,0,0
179,Mareep,55,40,40,65,45,35,280,0,0,0,0,0
180,Flaaffy,70,55,55,80,60,45,365,0,0,0,0,0
181,Ampharos,90,75,85,115,90,55,510,0,0,0,0,0
182,Bellossom,75,80,95,90,100,50,490,0,0,0,0,0
183,Marill,70,20,50,20,50,40,250,0,0,0,0,0
184,Azumarill,100,50,80,60,80,50,420,0,0,0,0,0
185,Sudowoodo,70,100,115,30,65,30,410,0,0,0,0,0
186,Politoed,90,75,75,90,100,70,500,0,0,0,0,0
187,Hoppip,35,35,40,35,55,50,250,0,0,0,0,0
188,Skiploom,55,45,50,45,65,80,340,0,0,0,0,0
189,Jumpluff,75,55,70,55,95,110,460,0,0,0,0,0
190,Aipom,55,70,55,40,55,85,360,0,0,0,0,0
191,Sunkern,30,30,30,30,30,30,180,0,0,0,0,0
192,Sunflora,75,75,55,105,85,30,425,0,0,0,0,0
193,Yanma,65,65,45,75,45,95,390,0,0,0,0,0
194,Wooper,55,45,45,25,25,15,210,0,0,0,0,0
195,Quagsire,95,85,85,65,65,35,430,0,0,0,0,0
196,Espeon,65,65,60,130,95,110,525,0,0,0,0,0
197,Umbreon,95,65,110,60,130,65,525,0,0,0,0,0
198,Murkrow,60,85,42,85,42,91,405,0,0,0,0,0
199,Slowking,95,75,80,100,110,30,490,0,0,0,0,0
200,Misdreavus,60,60,60,85,85,85,435,0,0,0,0,0
201,Unown,48,72,48,72,48,48,336,0,0,0,0,0
202,Wobbuffet,190,33,58,33,58,33,405,0,0,0,0,0
203,Girafarig,70,80,65,90,65,85,455,0,0,0,0,0
204,Pineco,50,65,90,35,35,15,290,0,0,0,0,0
205,Forretress,75,90,140,60,60,40,465,0,0,0,0,0
206,Dunsparce,100,70,70,65,65,45,415,0,0,0,0,0
207,Gligar,65,75,105,35,65,85,430,0,0,0,0,0
208,Steelix,75,85,200,55,65,30,510,0,0,0,0,0
209,Snubbull,60,80,50,40,40,30,300,0,0,0,0,0
210,Granbull,90,120,75,60,60,45,450,0,0,0,0,0
211,Qwilfish,65,95,75,55,55,85,430,0,0,0,0,0
212,Scizor,70,130,100,55,80,65,500,0,0,0,0,0
213,Shuckle,20,10,230,10,230,5,505,0,0,0,0,0
214,Heracross,80,125,75,40,95,85,500,0,0,0,0,0
215,Sneasel,55,95,55,35,75,115,430,0,0,0,0,0
216,Teddiursa,60,80,50,50,50,40,330,0,0,0,0,0
217,Ursaring,90,130,75,75,75,55,500,0,0,0,0,0
218,Slugma,40,40,40,70,40,20,250,0,0,0,0,0
219,Magcargo,50,50,120,80,80,30,410,0,0,0,0,0
220,Swinub,50,50,40,30,30,50,250,0,0,0,0,0
221,Piloswine,100,100,80,60,60,50,450,0,0,0,0,0
222,Corsola,55,55,85,65,85,35,380,0,0,0,0,0
223,Remoraid,35,65,35,65,35,65,300,0,0,0,0,0
224,Octillery,75,105,75,105,75,45,480,0,0,0,0,0
225,Delibird,45,55,45,65,45,75,330,0,0,0,0,0
226,Mantine,65,40,70,80,140,70,465,0,0,0,0,0
227,Skarmory,65,80,140,40,70,70,465,0,0,0,0,0
228,Houndour,45,60,30,80,50,65,330,0,0,0,0,0
229,Houndoom,75,90,50,110,80,95,500,0,0,0,0,0
230,Kingdra,75,95,95,95,95,85,540,0,0,0,0,0
231,Phanpy,90,60,60,40,40,40,330,0,0,0,0,0
232,Donphan,90,120,120,60,60,50,500,0,0,0,0,0
233,Porygon2,85,80,90,105,95,60,515,0,0,0,0,0
234,Stantler,73,95,62,85,65,85,465,0,0,0,0,0
235,Smeargle,55,20,35,20,45,75,250,0,0,0,0,0
236,Tyrogue,35,35,35,35,35,35,210,0,0,0,0,0
237,Hitmontop,50,95,95,35,110,70,455,0,0,0,0,0
238,Smoochum,45,30,15,85,65,65,305,0,0,0,0,0
239,Elekid,45,63,37,65,55,95,360,0,0,0,0,0
240,Magby,45,75,37,70,55,83,365,0,0,0,0,0
241,Miltank,95,80,105,40,70,100,490,0,0,0,0,0
242,Blissey,255,10,10,75,135,55,540,0,0,0,0,0
243,Raikou,90,85,75,115,100,115,580,0,0,0,0,0
244,Entei,115,115,85,90,75,100,580,0,0,0,0,0
245,Suicune,100,75,115,90,115,85,580,0,0,0,0,0
246,Larvitar,50,64,50,45,50,41,300,0,0,0,0,0
247,Pupitar,70,84,70,65,70,51,410,0,0,0,0,0
248,Tyranitar,100,134,110,95,100,61,600,0,0,0,0,0
249,Lugia,106,90,130,90,154,110,680,0,0,0,0,0
250,Ho-Oh,106,130,90,110,154,90,680,0,0,0,0,0
251,Celebi,100,100,100,100,100,100,600,0,0,0,0,0
252,Treecko,40,45,35,65,55,70,310,0,0,0,0,0
253,Grovyle,50,65,45,85,65,95,405,0,0,0,0,0
254,Sceptile,70,85,65,105,85,120,530,0,0,0,0,0
255,Torchic,45,60,40,70,50,45,310,0,0,0,0,0
256,Combusken,60,85,60,85,60,55,405,0,0,0,0,0
257,Blaziken,80,120,70,110,70,80,530,0,0,0,0,0
258,Mudkip,50,70,50,50,50,40,310,0,0,0,0,0
259,Marshtomp,70,85,70,60,70,50,405,0,0,0,0,0
260,Swampert,100,110,90,85,90,60,535,0,0,0,0,0
261,Poochyena,35,55,35,30,30,35,220,0,0,0,0,0
262,Mightyena,70,90,70,60,60,70,420,0,0,0,0,0
263,Zigzagoon,38,30,41,30,41,60,240,0,0,0,0,0
264,Linoone,78,70,61,50,61,100,420,0,0,0,0,0
265,Wurmple,45,45,35,20,30,20,195,0,0,0,0,0
266,Silcoon,50,35,55,25,25,15,205,0,0,0,0,0
267,Beautifly,60,70,50,100,50,65,395,0,0,0,0,0
268,Cascoon,50,35,55,25,25,15,205,0,0,0,0,0
269,Dustox,60,50,70,50,90,65,385,0,0,0,0,0
270,Lotad,40,30,30,40,50,30,220,0,0,0,0,0
271,Lombre,60,50,50,60,70,50,340,0,0,0,0,0
272,Ludicolo,80,70,70,90,100,70,480,0,0,0,0,0
273,Seedot,40,40,50,30,30,30,220,0,0,0,0,0
274,Nuzleaf,70,70,40,60,40,60,340,0,0,0,0,0
275,Shiftry,90,100,60,90,60,80,480,0,0,0,0,0
276,Taillow,40,55,30,30,30,85,270,0,0,0,0,0
277,Swellow,60,85,60,50,50,125,430,0,0,0,0,0
278,Wingull,40,30,30,55,30,85,270,0,0,0,0,0
279,Pelipper,60,50,100,85,70,65,430,0,0,0,0,0
280,Ralts,28,25,25,45,35,40,198,0,0,0,0,0
281,Kirlia,38,35,35,65,55,50,278,0,0,0,0,0
282,Gardevoir,68,65,65,125,115,80,518,0,0,0,0,0
283,Surskit,40,30,32,50,52,65,269,0,0,0,0,0
284,Masquerain,70,60,62,80,82,60,414,0,0,0,0,0
285,Shroomish,60,40,60,40,60,35,295,0,0,0,0,0
286,Breloom,60,130,80,60,60,70,460,0,0,0,0,0
287,Slakoth,60,60,60,35,35,30,280,0,0,0,0,0
288,Vigoroth,80,80,80,55,55,90,440,0,0,0,0,0
289,Slaking,150,160,100,95,65,100,670,0,0,0,0,0
290,Nincada,31,45,90,30,30,40,266,0,0,0,0,0
291,Ninjask,61,90,45,50,50,160,456,0,0,0,0,0
292,Shedinja,1,90,45,30,30,40,236,0,0,0,0,0
293,Whismur,64,51,23,51,23,28,240,0,0,0,0,0
294,Loudred,84,71,43,71,43,48,360,0,0,0,0,0
295,Exploud,104,91,63,91,73,68,490,0,0,0,0,0
296,Makuhita,72,60,30,20,30,25,237,0,0,0,0,0
297,Hariyama,144,120,60,40,60,50,474,0,0,0,0,0
298,Azurill,50,20,40,20,40,20,190,0,0,0,0,0
299,Nosepass,30,45,135,45,90,30,375,0,0,0,0,0
300,Skitty,50,45,45,35,35,50,260,0,0,0,0,0
301,Delcatty,70,65,65,55,55,70,380,0,0,0,0,0
302,Sableye,50,75,75,65,65,50,380,0,0,0,0,0
303,Mawile,50,85,85,55,55,50,380,0,0,0,0,0
304,Aron,50,70,100,40,40,30,330,0,0,0,0,0
305,Lairon,60,90,140,50,50,40,430,0,0,0,0,0
306,Aggron,70,110,180,60,60,50,530,0,0,0,0,0
307,Meditite,30,40,55,40,55,60,280,0,0,0,0,0
308,Medicham,60,60,75,60,75,80,410,0,0,0,0,0
309,Electrike,40,45,40,65,40,65,295,0,0,0,0,0
310,Manectric,70,75,60,105,60,105,475,0,0,0,0,0
311,Plusle,60,50,40,85,75,95,405,0,0,0,0,0
312,Minun,60,40,50,75,85,95,405,0,0,0,0,0
313,Volbeat,65,73,55,47,75,85,400,0,0,0,0,0
314,Illumise,65,47,55,73,75,85,400,0,0,0,0,0
315,Roselia,50,60,45,100,80,65,400,0,0,0,0,0
316,Gulpin,70,43,53,43,53,40,302,0,0,0,0,0
317,Swalot,100,73,83,73,83,55,467,0,0,0,0,0
318,Carvanha,45,90,20,65,20,65,305,0,0,0,0,0
319,Sharpedo,70,120,40,95,40,95,460,0,0,0,0,0
320,Wailmer,130,70,35,70,35,60,400,0,0,0,0,0
321,Wailord,170,90,45,90,45,60,500,0,0,0,0,0
322,Numel,60,60,40,65,45,35,305,0,0,0,0,0
323,Camerupt,70,100,70,105,75,40,460,0,0,0,0,0
324,Torkoal,70,85,140,85,70,20,470,0,0,0,0,0
325,Spoink,60,25,35,70,80,60,330,0,0,0,0,0
326,Grumpig,80,45,65,90,110,80,470,0,0,0,0,0
327,Spinda,60,60,60,60,60,60,360,0,0,0,0,0
328,Trapinch,45,100,45,45,45,10,290,0,0,0,0,0
329,Vibrava,50,70,50,50,50,70,340,0,0,0,0,0
330,Flygon,80,100,80,80,80,100,520,0,0,0,0,0
331,Cacnea,50,85,40,85,40,35,335,0,0,0,0,0
332,Cacturne,70,115,60,115,60,55,475,0,0,0,0,0
333,Swablu,45,40,60,40,75,50,310,0,0,0,0,0
334,Altaria,75,70,90,70,105,80,490,0,0,0,0,0
335,Zangoose,73,115,60,60,60,90,458,0,0,0,0,0
336,Seviper,73,100,60,100,60,65,458,0,0,0,0,0
337,Lunatone,70,55,65,95,85,70,440,0,0,0,0,0
338,Solrock,70,95,85,55,65,70,440,0,0,0,0,0
339,Barboach,50,48,43,46,41,60,288,0,0,0,0,0
340,Whiscash,110,78,73,76,71,60,468,0,0,0,0,0
341,Corphish,43,80,65,50,35,35,308,0,0,0,0,0
342,Crawdaunt,63,120,85,90,55,55,468,0,0,0,0,0
343,Baltoy,40,40,55,40,70,55,300,0,0,0,0,0
344,Claydol,60,70,105,70,120,75,500,0,0,0,0,0
345,Lileep,66,41,77,61,87,23,355,0,0,0,0,0
346,Cradily,86,81,97,81,107,43,495,0,0,0,0,0
347,Anorith,45,95,50,40,50,75,355,0,0,0,0,0
348,Armaldo,75,125,100,70,80,45,495,0,0,0,0,0
349,Feebas,20,15,20,10,55,80,200,0,0,0,0,0
350,Milotic,95,60,79,100,125,81,540,0,0,0,0,0
351,Castform,70,70,70,70,70,70,420,0,0,0,0,0
352,Kecleon,60,90,70,60,120,40,440,0,0,0,0,0
353,Shuppet,44,75,35,63,33,45,295,0,0,0,0,0
354,Banette,64,115,65,83,63,65,455,0,0,0,0,0
355,Duskull,20,40,90,30,90,25,295,0,0,0,0,0
356,Dusclops,40,70,130,60,130,25,455,0,0,0,0,0
357,Tropius,99,68,83,72,87,51,460,0,0,0,0,0
358,Chimecho,65,50,70,95,80,65,425,0,0,0,0,0
359,Absol,65,130,60,75,60,75,465,0,0,0,0,0
360,Wynaut,95,23,48,23,48,23,260,0,0,0,0,0
361,Snorunt,50,50,50,50,50,50,300,0,0,0,0,0
362,Glalie,80,80,80,80,80,80,480,0,0,0,0,0
363,Spheal,70,40,50,55,50,25,290,0,0,0,0,0
364,Sealeo,90,60,70,75,70,45,410,0,0,0,0,0
365,Walrein,110,80,90,95,90,65,530,0,0,0,0,0
366,Clamperl,35,64,85,74,55,32,345,0,0,0,0,0
367,Huntail,55,104,105,94,75,52,485,0,0,0,0,0
368,Gorebyss,55,84,105,114,75,52,485,0,0,0,0,0
369,Relicanth,100,90,130,45,65,55,485,0,0,0,0,0
370,Luvdisc,43,30,55,40,65,97,330,0,0,0,0,0
371,Bagon,45,75,60,40,30,50,300,0,0,0,0,0
372,Shelgon,65,95,100,60,50,50,420,0,0,0,0,0
373,Salamence,95,135,80,110,80,100,600,0,0,0,0,0
374,Beldum,40,55,80,35,60,30,300,0,0,0,0,0
375,Metang,60,75,100,55,80,50,420,0,0,0,0,0
376,Metagross,80,135,130,95,90,70,600,0,0,0,0,0
377,Regirock,80,100,200,50,100,50,580,0,0,0,0,0
378,Regice,80,50,100,100,200,50,580,0,0,0,0,0
379,Registeel,80,75,150,75,150,50,580,0,0,0,0,0
380,Latias,80,80,90,110,130,110,600,0,0,0,0,0
381,Latios,80,90,80,130,110,110,600,0,0,0,0,0
382,Kyogre,100,100,90,150,140,90,670,0,0,0,0,0
383,Groudon,100,150,140,100,90,90,670,0,0,0,0,0
384,Rayquaza,105,150,90,150,90,95,680,0,0,0,0,0
385,Jirachi,100,100,100,100,100,100,600,0,0,0,0,0
